,MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,SequelName,HasSequel,isManga,4-koma manga,Book,Card game,Digital manga,Game,Light novel,Manga,Music,Novel,Original,Other,Picture book,Radio,Unknown,Visual novel,Web manga
8521,21743,Donten ni Warau,800,"Action, Historical, Shoujo, Supernatural",Laughing Under the Clouds,曇天に笑う,TV,12,"Oct 4, 2014 to Dec 20, 2014",Fall 2014,"VAP, Nippon Television Network",Funimation,Doga Kobo,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1510,1357,103752,707,6432,50019,4271,6093,36937,4284.0,5677.0,10153.0,10786.0,5144.0,2484.0,966.0,369.0,162.0,108.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2988,3372,RGB Adventure,0,Adventure,RGB Adventure,RGBアドベンチャ,TV,6,"Nov 19, 2006 to Dec 24, 2006",Fall 2006,Unknown,Unknown,Unknown,Unknown,20 min. per ep.,G - All Ages,11691,14288,237,0,16,61,4,53,103,6.0,1.0,2.0,7.0,5.0,5.0,5.0,3.0,3.0,7.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5765,9424,Seupideuwang Beongae,700,"Action, Game, School, Shounen, Sports",Wings of Dragon,스피드왕 번개,TV,26,"May 18, 1998 to Aug 18, 1998",Spring 1998,Unknown,Unknown,Unknown,Unknown,24 min. per ep.,Unknown,7771,11997,528,3,32,255,15,72,154,17.0,13.0,16.0,32.0,30.0,33.0,8.0,11.0,6.0,8.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1675,1839,Jagainu-kun,700,"Adventure, Fantasy, Kids, Shoujo, Slice of Life",Unknown,じゃがいぬくん,TV,26,"Apr 4, 2004 to Jul 18, 2004",Spring 2004,Aniplex,Unknown,Unknown,Unknown,3 min. per ep.,G - All Ages,6229,9900,1292,5,46,686,76,153,331,54.0,44.0,67.0,141.0,106.0,87.0,39.0,18.0,20.0,10.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11462,32670,Battle Spirits: Double Drive,600,"Game, Fantasy",Unknown,バトルスピリッツ ダブルドライブ,TV,51,"Apr 6, 2016 to Mar 29, 2017",Spring 2016,Unknown,Unknown,Bandai Namco Pictures,Card game,24 min. per ep.,PG - Children,8730,10105,1171,3,111,246,58,136,620,21.0,6.0,20.0,31.0,47.0,46.0,11.0,16.0,9.0,10.0,,No Sequel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9243,24969,Sumiko (TV),0,"Comedy, Slice of Life, Kids",Unknown,スミ子 (2014),TV,8,"Jul 4, 2014 to Aug 22, 2014",Summer 2014,"Opera House, On-Lead",Unknown,Unknown,Original,3 min. per ep.,G - All Ages,12259,14302,236,1,15,80,7,57,77,4.0,1.0,5.0,6.0,8.0,6.0,10.0,5.0,10.0,6.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16134,40397,Maoujou de Oyasumi,900,"Slice of Life, Comedy, Supernatural, Magic, Fantasy, Shounen",Sleepy Princess in the Demon Castle,魔王城でおやすみ,TV,12,"Oct 6, 2020 to Dec 22, 2020",Fall 2020,Lantis,Funimation,Doga Kobo,Manga,23 min. per ep.,PG-13 - Teens 13 or older,490,1446,96017,1000,18006,42696,2547,3515,29253,5618.0,7898.0,13998.0,8455.0,2684.0,1101.0,313.0,140.0,52.0,67.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7252,15377,Hyakka Ryouran: Samurai Bride,700,"Action, Ecchi, Comedy, Harem, Samurai, School",Samurai Bride,百花繚乱 サムライブライド,TV,12,"Apr 5, 2013 to Jun 21, 2013",Spring 2013,"Genco, Lantis, Hobby Japan, Gigno Systems",Sentai Filmworks,Arms,Light novel,24 min. per ep.,R+ - Mild Nudity,4599,1608,83664,95,4276,51340,2608,3398,22042,2035.0,2850.0,6370.0,10901.0,7858.0,4067.0,1841.0,737.0,386.0,240.0,,No Sequel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2552,2772,Juushin Enbu: Hero Tales,700,"Action, Fantasy, Shounen",Hero Tales,獣神演武 - HERO TALES -,TV,26,"Oct 8, 2007 to Mar 31, 2008",Fall 2007,"Square Enix, Genco, Tohokushinsha Film Corporation",Funimation,Studio Flag,Manga,24 min. per ep.,PG-13 - Teens 13 or older,4196,3379,23300,39,1793,10335,1677,1889,7606,361.0,712.0,1804.0,2962.0,1752.0,992.0,403.0,147.0,60.0,63.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16216,40532,Appare-Ranman!,800,"Cars, Comedy, Historical",APPARE-RANMAN!,天晴爛漫！,TV,13,"Apr 10, 2020 to Sep 25, 2020",Spring 2020,"Lantis, AT-X, Docomo Anime Store, Sammy, Kadokawa Media House, Kadokawa, Bandai Namco Arts, Bit Promotion",Funimation,P.A. Works,Original,23 min. per ep.,PG-13 - Teens 13 or older,2185,1531,89963,360,14085,32245,4085,5333,34215,1764.0,3465.0,8851.0,10297.0,4291.0,1888.0,696.0,262.0,102.0,79.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
